text_id,token_id,text,sentence_number,token_number
1,7.103_1,12.0,0,"Geschichtenerzähler erinnert sich an eine Legende, die ihn sehr erregt. Es geht um eine wundersame Jungfrau Lorelei, die oben den Rhein auf dem Felsen sitzt und eine gewaltige Melodei singt. Dieses Lied bezaubert die Schiffer, deswegen sterben sie, auf Felsen abgestürzt. Durch Merkmale wie die Erwähnung des Märchens und der natürlichen Landschaft, sowie -EMPTY-  die feste Form ist das Gedicht ganz klar der Romantik zuzuordnen. "
2,7.105_1,11.0,0,"Waldgespräch von Joseph von Eichendorff    Das Gedicht  Waldgespräch  ist von Joseph von Eichendorff im 1815 geschrieben. Vom Ende des 18. Jahrhunderts bis in das 19. Jahrhundert hinein dauerte die kulturgeschichtliche Epoche der Romantik an.  Bei Eichendorff, den man durchaus als größten Vertreter der Romantik, vor allem der Spätromantik bezeichnen könnte, hat der Wald eine ebensolche Labyrinthfunktion, die ein  Verloren-Sein , eine Reise ins Innere des Protagonisten darstellt. Der Wald hat viele Seiten, immer abhängig vom persönlichen Zustand, von der Tageszeit, und von Art und Größe des Waldes. Der Wald ist in der Nacht eher als Bedrohlich anzusehen. Ein Ort -EMPTY-  wo es zu Verbrechen kommt, wo man sich fürchtet. Das Gedicht baut sich aus 4 Strophen auf und besteht aus 16 Versen. Inhaltlich geht es in dem Gedicht um die Hexe Lorelei und ein Mann, der nicht weiter benannt wird, welche ein Gespräch im Wald führen, bei dem zu Beginn der Mann der Hexe Hilfe anbietet, da er denk, sie habe sich verlaufen. Das Misstrauen der Hexe gegenüber dem Mann ist in ihrer Natur als Hexe Lorelei begründet. Der Mann weiß zu Beginn nicht, dass es sich bei der Frau um die Hexe Lorelei handelt, erkennt sie jedoch bald und gerät schließlich selbst in der Rolle des im Wald Verlorenen, in die Fänge der Lorelei. Das Gedicht ist in einer Monologstruktur aufgebaut. Hier gibt es Personifikationen, die treten z. B. immer in Fabeln auf (da Tiere wie Menschen handeln). Anderes Beispiel: Der Mond schaut zornig drein; der Mond nimmt hier also charakteristische menschliche Züge an; Inversion, Anapher:  Er schaut nicht die Felsenriffe, er schaut nur hinauf . Für die Kunstwelt Eichendorff ist geprägt von der Nutzung des Waldbildes. "
3,7.106_1,12.0,0,"Die Loreley Heine wurde 1797 in Düsseldorf geboren und war Sohn eines Kaufmanns. 1807 besucht er das Düsseldorfer Lyzeum und lernt dort, da Deutschland unter französischer Herrschaft steht, die französische Sprache und Literatur kennen. Heine wird an der Schule mit den Ideen der Aufklärung konfrontiert. Heine gilt als Romantiker, der aber gleichzeitig über die Romantik spottet und sie überwindet. Durch ihn wurde der Reisebericht und das Feuilleton bekannt. Er selbst machte sich einen Namen als politischer kritischer Journalist, Satiriker und Polemiker. Das Gedicht das  Lied der Loreley  wurde von Heinrich Heine verfasst und erschien 1824 und ist somit der Epoche der Romantik zuzuordnen. Es handelt von einem Schiffer -EMPTY-  der seine Augen nicht von einer Frau nehmen kann, welche auf dem Felsen sitzt und er dadurch einen Schiffsbruch erleidet.  Das Gedicht besteht aus sechs Strophen. Das lyrische Ich schildert seine melancholische Stimmung und beginnt zu erzählen: Ein Schiffer fährt über den Rhein (Strophe eins und zwei). Er erblickt eine Frau, welche auf einem Felsen sitzt, ihr goldenes Haar kämmt und ein Lied singt (Strophe drei und vier). Das lyrische Ich nimmt die Position des Beobachters und Erzählers ein und schildert dabei auch seine eigenen Gefühle. Die Strophen eins und zwei vermitteln eine melancholische Stimmung durch die Wortwahl wie zum Beispiel  traurig ,  kühl  und  dunkelt . Die  Lore-Ley  und der  Schiffer  bilden zwei gegensätzliche Figuren. Durch die Alliteration  wildem Weh  kündigt sich zu dem bereits die Katastrophe an. Das Ende des Schiffers wird mit der Metapher  die Wellen verschlingen  gezeigt. Zu Beginn des Gedichts hatte das lyrische Ich seine Gefühle geäußert, am Ende nennt es die Schuldige für den Tod des Schiffers:  Und das hat mit ihrem Singen die Lore-Ley getan .  "
4,7.107_1,-1.0,0," Nachts schlafen die Ratten doch   von Wolfgang Borchert Wolfgang Borchert war ein deutscher Schriftsteller. Sein schmales Werk von Kurzgeschichten, Gedichten und einem Theaterstück machte Borchert nach dem Zweiten Weltkrieg zu einem der bekanntesten Autoren der Trümmerliteratur. Inhaltsangabe Die Kurzgeschichte  Nachts schlafen die Ratten doch   beginnt mit der Begegnung eines Jungen mit einem alten Mann. Die ganze weitere Erzählung findet während ihrer Begegnung statt. Die Handlung spielt in den Trümmern einer deutschen Stadt. Ein älterer Mann nähert sich einem Jungen, der auf den Trümmern des Gebäudes liegt. Er fragt, warum der Junge hier liegt. Der Junge antwortet ihm, dass er  aufpasst, dafür braucht er einen Stock. Aber er beantwortet die Frage eines Mannes nicht, warum und was er aufpasst. Das kann er ihm nicht sagen. Der Mann sagt ihm, dass er ihm dann nicht sagen wird, was in seinem Korb ist. Aber der Junge vermutet selbst, dass er Kaninchenfutter in seinem Korb hat. Der Mann ist erstaunt, was für ein kluger Junge er ist. Wir erfahren, dass ein Mann 27 Kaninchen hat. Der Junge ist daran interessiert, aber dennoch weigert er sich, die Kaninchen zu beobachten, weil er  aufpassen muss. Er sagt, er muss die ganze Zeit aufpassen, auch nachts. Der Mann bedauert, dass der Junge hier gelassen werden muss und gehen wird. Und in diesem Moment verrät der Junge sein Geheimnis. Er bewacht die Überreste seines Bruders, der hier gestorben ist, seit er von einem Lehrer erfuhr, dass Ratten essen von den Toten. Der Mann musste den Jungen anlügen und sagen, dass die Ratten nachts schlafen und sein Bruder nichts bedroht. Der Junge zögert, vertraut aber dem Mann. Der Mann verspricht, dass er, wenn es dunkel wird, zu dem Jungen kommt und ihn abholt und auch ein kleines Kaninchen mitbringt. Der Junge stimmt zu und sagt, dass er warten wird. Analyse Nach dem Inhalt der Geschichte können wir daraus schließen, dass die Handlung nach dem Zweiten Weltkrieg stattfindet. Der Inhalt der Geschichte ist kurz genug. Wir sehen vor uns eine Episode aus dem Leben der handelnden Personen. Die handelnden Personen sind ein Junge und ein älterer Mann. Die Anzahl der Protagonisten ist gering, was für Kurzgeschichten typisch ist. Eine Krisensituation ist die Nachkriegszeit und die Tatsache, dass der Junge so früh die Schrecken des Lebens erkennen musste. Die Geschichte beginnt plötzlich, ohne viel Einführung mit einer kurzen Beschreibung der Landschaft und des Auftretens eines Mannes. Das Ende bleibt offen. Wir wissen nicht, was dem Jungen als nächstes passiert ist, ob er seine unbeschwerte Kindheit wiedererlangen konnte. Vor uns ist ein Bild eines Jungen zu sehen, der Grausamkeit, Schmerz und Verlust früh erkannt hat. Die Details dieser Geschichte helfen uns, dies zu verstehen. Er ist klug für seine Jahre, er ist immer noch sehr klein und raucht schon, er übernimmt die Verantwortung, seinen Bruder zu bewachen. In der Gestalt eines Mannes sehen wir jedoch die Hoffnung, dass seine unbeschwerte Kindheit immer noch zu dem Jungen zurückkehren kann. Der Junge interessiert sich für Kaninchen, er strebt danach, sich mit dem zu beschäftigen, was Kinder in seinem Alter tun. Das Hauptthema dieser Kurzgeschichte ist der Einfluss des Krieges auf das Leben der Menschen. Der Hauptgedanke ist, dass Kinder durch die Grausamkeit des Krieges früh erwachsen werden müssen und dadurch eine unauslöschliche Spur in ihrem Leben hinterlassen. "
5,7.108_1,12.0,0,"Erlkönig  von Johann Wolfgang von Goethe Johann Wolfgang von Goethes  Erlkönig  aus dem Jahre 1782 ist eine der bekanntesten deutschen Balladen. Die Ballade  Der Erlkönig  beschreibt, wie ein Vater mit seinem kranken Sohn durch die Nacht reitet. Der Sohn fantasiert, er sieht und hört den Erlkönig, der ihn dazu bringen will, in sein Reich zu kommen. Erst lockt er den Jungen mit Versprechungen, später wendet er auch Gewalt an. Der Vater möchte seinen Sohn beruhigen und erklärt die Halluzinationen mit Geschehnissen aus der Natur. Als die beiden endlich ihr Ziel erreichen, ist der Junge tot.  Der Erlkönig  ist ein Gedicht bestehend aus 8 Strophen mit jeweils vier Versen. Das Reimschema ist durchgehend der Paarreim. Die Stilmittel, die Goethe hauptsächlich benutzt, sind die Anapher und die Alliteration.  "
6,7.108_2,11.0,0,"Der Handschuh von Friedrich von Schiller In der ersten Folge versammelten sich der französische König mit dem Erben und den Höflingen vor der Menagerie, um den Kampf der wilden Tiere zu sehen. Als erster kam ein riesiger Löwe in die Arena. Dieses starke und kluge Tier sah sich um und legte sich ruhig auf den Boden. Im Anschluss wurde ein wütender Tiger mit brennendem Blick und geschwollenen Adern freigelassen. Als er den mächtigen Löwen sah, drehte er sich um und legte sich leise neben ihn. Dann liefen zwei Barça in die Arena. Sie versuchten, den Tiger anzugreifen, aber nachdem sie einen Schlag mit der Pfote erhalten hatten und das gewaltige Brüllen des Löwen hörten, versöhnten sie sich und legten sich auch daneben. Sie wollte das blutige Spektakel wissen, aber der weise Löwe unterwarf sich nicht und benahm sich sehr edel. Unter den Zuschauern war eine brillante junge Schönheit, in die der Ritter Delorge verliebt war. Versehentlich oder absichtlich ließ sie den Handschuh in die Arena fallen. Die Dame wollte die Gefühle ihres Bewunderers und ihre Macht über ihn testen und bot ihm mit vorgetäuschter Höflichkeit an, zu den wilden Tieren zu gehen und ihr eigenes Ding zu bringen. Für den mutigen und edlen Ritter war die Ablehnung des Angebots der grausamen Schönheit gleichbedeutend mit Schande. Er musste sein Leben riskieren. Der junge Mann ging in die Arena und holte sich den Handschuh. Die Tiere haben ihn nicht berührt. Dieser Vorfall half Delorge, den Charakter seiner Auserwählten zu verstehen. Er sah ihre Erschütterung, Herzlosigkeit, den Wunsch, die Gefühle des Verliebten zu spielen. Unter dem schönen Aussehen des Mädchens verbarg sich eine niedrige und grausame Seele. Delorges Liebe verwandelte sich in einen Augenblick in Verachtung. Er warf der Dame einen Handschuh ins Gesicht. Die Ballade  Der Handschuh  hat 9 Strophen. Das Reimschema von  Der Handschuh  ist wechselnd (Schweifreim, Kreuz- und Paarreime).   "
7,7.116_1,12.0,0,"Nach dem Krieg wurde München der sichere Ort für die russischsprachige, antisowjetische Emigration. Die dritte Welle begann nach der Konferenz für Sicherheit und Zusammenarbeit in Europa und dann kam in vielen Ostblockstaaten die Dissidenten- und Bürgerrechtsbewegung auf. Zu ihren wichtigsten Forderungen gehörte die Reisefreiheit mit den Zentren neben Israel, Paris, London und New York.
"
8,7.117_1,12.0,0,"1) In 2 Jahrzehnten nach dem Krieg wurde München der sicherste Ort für die antisowjetische Emigration, die im Kalten Krieg eine bedeutende Rolle spielen sollte. 
2) Während der Dritten Welle gab es in vielen Ländern des Ostblocks eine Bewegung für Dissidenten-und Bürgerrechte, die zur Erneuerung der Russischen Diaspora in Deutschland führte. 
3) In Deutschland ließen sich wichtige Figuren der sowjetischen Dissidentenbewegung nieder: Lew Kopelew lebte in Köln, Alexander Sinowjew, Kronid Ljubarskij und Wladimir Woinowitsch wohnten in München.
"
9,7.121_1,10.0,0,"Waldgespräch (Joseph von Eichendorff) Waldgespräch  ist ein romantisches Gedicht von Joseph von Eichendorff. Im abendlichen Wald findet ein Treffen des Ritters mit der Hexe Lorelei statt.  Der Text gehört zur Literaturepoche der Romantik. In dem Gedicht   Waldgespräch  von Josef von Eichendorff geht es hauptsächliche um das   labyrinthische  und mystische des Waldes.   Inhaltlich geht es in dem Gedicht um die Hexe Lorelei und ein Mann, der  nicht weiter benannt wird, welche ein Gespräch im Wald führen, bei dem zu  Beginn der Mann der Hexe Hilfe anbietet, da er denk, sie habe sich  verlaufen. Der Mann weiß zu Beginn nicht, dass es sich bei der Frau um die  Hexe Lorelei handelt, erkennt sie jedoch bald und gerät schließlich selbst in  der Rolle des im Wald Verlorenen, in die Fänge der Lorelei.  Waldgespräch  ist im Genre der Ballade geschrieben. Die Ballade ist ein  erzählendes Gedicht mit einer sehr stark dramatischen Handlung, was wir  im Text sehen können (Der Ritter wird für immer im Wald bleiben). Dieser  Text ist episch und die Gedichtsform ist stimmungsvoll. Das Gedicht ist in  einer Monologstruktur aufgebaut. Im Mittelpunkt liegt ein Ereignis. Die  Handlung ist dynamisch auch (Es gibt viele ausrufe Sätzen). Das Gedicht  besteht aus 4 Strophen.  "
10,7.121_2,11.0,0,"Der Handschuh (Friedrich Schiller)  Der Handschuh  ist eine Ballade von F. Schiller. Im Mittelpunkt seiner  Balladen stehen mythologische und legendäre Geschichten über Ritter und  edle Damen. Die Handlung dieser Geschichte spielt im Mittelalter  (Ritterzeit), im Frankreich. Das Thema ist Ehre und Würde, oder die  Beziehung zwischen Ritter und Frau im Mittelalter. Schiller erzählt uns von  den Ereignissen, die im Hof des Königs passierten. Der König veranstaltet  den Kampfspiel zwischen Löwen. Die Zuschauer waren  die Großen der  Krone . Sie haben großen Spaß, an den Kampf zwischen Löwen, Tigern und  Leoparden zu beobachten. Während des Kampfspiels fällt plötzlich ein  Handschuh in die Arena. Die charmante Dame Kunigund wendet sich an  den Ritter ihres Herzens, damit er den Handschuh aus der Arena bringt. Das  ist eine Laune der Dame. Auf diese Weise möchte sie, dass der Ritter ihr  seine Hingabe und Liebe beweist. Delorges steigt in die Arena, hebt den  Handschuh, aber zurück, wirft der Ritter einen Handschuh seiner  Auserwählten ins Gesicht. Mit ihrer Tat zeigt sich die Dame von ihrer  schlechten Seite. Sie ist arrogant und egoistisch. Schiller zeigt in seiner  Ballade im Namen des Ritters, dass das Leben mehr wert ist als jemandes  lächerliche Laune.    Der Handschuh  ist im der Romantisch geschrieben, weil es alle  Merkmale der Romantik enthält. Zum Beispiel ist eine große  Aufmerksamkeit auf die Persönlichkeit des Menschen, seine inneren  Erfahrungen. Außerdem spielen die Gefühle des Helden eine wichtige  Rolle und verwendet die Ballade eine legendäre Handlung.  Der  Handschuh  ist im Genre der Ballade geschrieben. Die Ballade umfasst drei  Elemente: enthält ein Ereignis, die Handlung entwickelt sich schnell und  dramatisch und die Ballade hat die Form eines Gedichts. Die Ballade  besteht aus 7 Strophen.   "
